         4282851 function calls (4270684 primitive calls) in 33.662 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   33.661   33.661 _logger.py:1295(catch_wrapper)
        1    0.000    0.000   33.661   33.661 main.py:28(main)
        1    0.057    0.057   32.958   32.958 class_Game.py:51(run_game)
     2891    0.051    0.000   16.155    0.006 sprite.py:544(update)
    32060   12.937    0.000   12.937    0.000 {built-in method pygame.transform.rotozoom}
    16802    0.170    0.000    8.145    0.000 class_Guardian.py:49(update)
    14081    0.062    0.000    6.069    0.000 class_Enemies.py:175(update)
     2891    6.046    0.002    6.046    0.002 {method 'tick' of 'pygame.time.Clock' objects}
     2891    0.075    0.000    5.404    0.002 class_CameraGroup.py:43(custom_draw)
    14081    0.125    0.000    5.325    0.000 class_Enemies.py:90(rotation)
    50960    5.059    0.000    5.059    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
     2891    3.171    0.001    3.171    0.001 {built-in method pygame.display.update}
     5784    1.245    0.000    1.245    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
    10299    0.023    0.000    1.242    0.000 class_Shots.py:65(update)
      857    1.162    0.001    1.162    0.001 {built-in method pygame.image.load}
    77677    0.155    0.000    1.029    0.000 sprite.py:1719(groupcollide)
       86    0.004    0.000    0.989    0.011 class_Animator.py:19(__init__)
       86    0.014    0.000    0.936    0.011 class_Animator.py:48(__post_init__)
       79    0.001    0.000    0.881    0.011 class_Explosion.py:8(__init__)
   254187    0.462    0.000    0.772    0.000 sprite.py:1667(spritecollide)
     2891    0.011    0.000    0.668    0.000 class_CheckEvents.py:10(check_events)
     2891    0.598    0.000    0.598    0.000 {built-in method pygame.event.get}
    10299    0.009    0.000    0.535    0.000 function_shots_collision.py:21(enemies_guard_collision)
     1164    0.007    0.000    0.484    0.000 class_Explosion.py:30(update)
    10299    0.016    0.000    0.420    0.000 class_Shots.py:55(check_position)
       36    0.000    0.000    0.399    0.011 function_shots_collision.py:51(distance_collision)
        1    0.000    0.000    0.396    0.396 class_Game.py:20(__init__)
    16802    0.011    0.000    0.340    0.000 function_guards_collision.py:29(enemies_guards_collision)
    14081    0.014    0.000    0.338    0.000 function_enemies_collision.py:11(enemies_collision)
     2891    0.014    0.000    0.326    0.000 class_MiniMap.py:83(update)
    117/6    0.001    0.000    0.324    0.054 <frozen importlib._bootstrap>:1349(_find_and_load)
    115/6    0.001    0.000    0.324    0.054 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    255/8    0.000    0.000    0.323    0.040 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    113/7    0.000    0.000    0.322    0.046 <frozen importlib._bootstrap>:911(_load_unlocked)
     98/6    0.000    0.000    0.321    0.054 <frozen importlib._bootstrap_external>:1020(exec_module)
    100/6    0.001    0.000    0.318    0.053 {built-in method builtins.exec}
        1    0.000    0.000    0.305    0.305 class_Game.py:1(<module>)
        1    0.000    0.000    0.286    0.286 class_CameraGroup.py:16(__init__)
        1    0.008    0.008    0.286    0.286 class_CameraGroup.py:33(set_background)
  1509041    0.213    0.000    0.213    0.000 sprite.py:127(rect)
      857    0.208    0.000    0.208    0.000 {method 'convert_alpha' of 'pygame.surface.Surface' objects}
     2891    0.006    0.000    0.194    0.000 class_ScreenGame.py:34(update_caption)
     2892    0.188    0.000    0.188    0.000 {built-in method pygame.display.set_caption}
   136913    0.103    0.000    0.186    0.000 sprite.py:438(__iter__)
    16802    0.016    0.000    0.174    0.000 function_guards_collision.py:48(guards_collision)
    10299    0.006    0.000    0.169    0.000 function_shots_collision.py:32(shots_collision)
     2891    0.016    0.000    0.159    0.000 class_Player.py:150(update)
    41168    0.076    0.000    0.157    0.000 sprite.py:1755(spritecollideany)
    16972    0.030    0.000    0.156    0.000 class_Weapons.py:23(update_weapons)
       12    0.000    0.000    0.140    0.012 __init__.py:1(<module>)
   333290    0.138    0.000    0.138    0.000 sprite.py:381(sprites)
    14081    0.076    0.000    0.133    0.000 class_Enemies.py:119(check_position)
    17008    0.068    0.000    0.126    0.000 class_Weapons.py:11(pos_rotation)
        3    0.007    0.002    0.110    0.037 source.py:1(<module>)
        7    0.000    0.000    0.109    0.016 class_Guardian.py:15(__init__)
   711148    0.104    0.000    0.104    0.000 {method 'colliderect' of 'pygame.rect.Rect' objects}
        1    0.000    0.000    0.098    0.098 icecream.py:1(<module>)
    16802    0.014    0.000    0.089    0.000 function_guards_collision.py:10(player_guards_collision)
       63    0.001    0.000    0.085    0.001 class_Shots.py:18(__init__)
        1    0.000    0.000    0.084    0.084 class_Game.py:37(load_enemies)
        6    0.000    0.000    0.084    0.014 class_Enemies.py:24(__init__)
        6    0.000    0.000    0.084    0.014 class_Enemies.py:41(__post_init__)
    10299    0.011    0.000    0.084    0.000 function_shots_collision.py:9(player_guard_collision)
    14081    0.034    0.000    0.083    0.000 class_Enemies.py:142(shot)
        1    0.000    0.000    0.082    0.082 class_Player.py:1(<module>)
    27214    0.061    0.000    0.061    0.000 {built-in method pygame.draw.circle}
